variable.name,variable.label,country,year,filename
Q1,How old are you,algeria,2011,DZH2011_Public_Use.sav
Q2,Sex,algeria,2011,DZH2011_Public_Use.sav
Q3,In what grade are you,algeria,2011,DZH2011_Public_Use.sav
Q4,How tall are you,algeria,2011,DZH2011_Public_Use.sav
Q5,How much do you weigh,algeria,2011,DZH2011_Public_Use.sav
Q6,Went hungry past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q7,Eat fruit per day past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q8,Eat vegetables past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q9,Drink soft drinks past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q10,Ate fast food past 7 days,algeria,2011,DZH2011_Public_Use.sav
Q11,How many times per day brush teeth,algeria,2011,DZH2011_Public_Use.sav
Q12,Wash hands before eating past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q13,Wash hands after toilet past 30 day,algeria,2011,DZH2011_Public_Use.sav
Q14,Used soap on hands past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q15,Times attacked past 12 mo.,algeria,2011,DZH2011_Public_Use.sav
Q16,How many times in fight 12 mos,algeria,2011,DZH2011_Public_Use.sav
Q17,How many times injured past 12 months,algeria,2011,DZH2011_Public_Use.sav
Q18,What was serious injury past 12 mo.,algeria,2011,DZH2011_Public_Use.sav
Q19,Cause of injury past 12 mo.,algeria,2011,DZH2011_Public_Use.sav
Q20,How many days bullied past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q21,How bullied past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q22,Times felt lonely past 12 mo.,algeria,2011,DZH2011_Public_Use.sav
Q23,Times could not sleep past 12 mo.,algeria,2011,DZH2011_Public_Use.sav
Q24,Ever considered suicide 12 mos,algeria,2011,DZH2011_Public_Use.sav
Q25,Ever make suicide plan 12 mos,algeria,2011,DZH2011_Public_Use.sav
Q26,How many times attempt suicide 12 mos,algeria,2011,DZH2011_Public_Use.sav
Q27,Number close friends,algeria,2011,DZH2011_Public_Use.sav
Q28,Age first tried cigarette,algeria,2011,DZH2011_Public_Use.sav
Q29,How many days smoked 30 days,algeria,2011,DZH2011_Public_Use.sav
Q30,Other forms of tobacco,algeria,2011,DZH2011_Public_Use.sav
Q31,Try stop smoking past 12 mo.,algeria,2011,DZH2011_Public_Use.sav
Q32,Others present smoking past 7 days,algeria,2011,DZH2011_Public_Use.sav
Q33,Parents who use tobacco,algeria,2011,DZH2011_Public_Use.sav
Q34,Age first drink of alcohol,algeria,2011,DZH2011_Public_Use.sav
Q35,Days one drink or more past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q36,Number of drinks past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q37,How got drinks past 30 days ,algeria,2011,DZH2011_Public_Use.sav
Q38,Times drunk during life,algeria,2011,DZH2011_Public_Use.sav
Q39,Number of troubles as result of drinking,algeria,2011,DZH2011_Public_Use.sav
Q40,Age first drugs,algeria,2011,DZH2011_Public_Use.sav
Q41,Times used marijuana lifetime,algeria,2011,DZH2011_Public_Use.sav
Q42,Times used marijuana past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q43,Times used amphetamines lifetime,algeria,2011,DZH2011_Public_Use.sav
Q44,Ever had sex,algeria,2011,DZH2011_Public_Use.sav
Q45,Age first sexual intercourse,algeria,2011,DZH2011_Public_Use.sav
Q46,How many sex partners,algeria,2011,DZH2011_Public_Use.sav
Q47,Used condom at last intercourse,algeria,2011,DZH2011_Public_Use.sav
Q48,Used birth control last intercourse,algeria,2011,DZH2011_Public_Use.sav
Q49,Days active 60 min plus past 7 days,algeria,2011,DZH2011_Public_Use.sav
Q50,Walk or bike to school past 7 days,algeria,2011,DZH2011_Public_Use.sav
Q51,Days went to PE each week,algeria,2011,DZH2011_Public_Use.sav
Q52,Time spent sitting on usual day,algeria,2011,DZH2011_Public_Use.sav
Q53,Miss school no permission past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q54,Others helpful in school past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q55,Parents check homework past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q56,Parent understand troubles past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q57,Parent know what you do past 30 days,algeria,2011,DZH2011_Public_Use.sav
Q58,Parent go through things past 30 days,algeria,2011,DZH2011_Public_Use.sav
